breakout_window,atr_buffer,atr_stop_multiple,trend_ema_period,volume_spike_multiplier,final_equity,total_return_pct,max_drawdown_pct,total_trades,win_rate_pct
40,0.4,1.0,60,2.5,28963.93,189.64,22.72,65,49.23
40,0.4,1.0,60,3.0,38149.53,281.50,22.72,70,51.43
40,0.4,1.0,60,3.5,35276.06,252.76,21.62,79,48.10
40,0.4,1.0,80,2.5,28963.93,189.64,22.72,65,49.23
40,0.4,1.0,80,3.0,38149.53,281.50,22.72,70,51.43
40,0.4,1.0,80,3.5,35276.06,252.76,21.62,79,48.10
40,0.4,1.0,100,2.5,29541.72,195.42,22.72,65,49.23
40,0.4,1.0,100,3.0,38910.55,289.11,22.72,70,51.43
40,0.4,1.0,100,3.5,37248.07,272.48,21.62,78,48.72
40,0.4,1.2,60,2.5,23912.76,139.13,29.13,62,43.55
40,0.4,1.2,60,3.0,31048.40,210.48,29.13,67,46.27
40,0.4,1.2,60,3.5,30117.50,201.17,31.50,75,45.33
40,0.4,1.2,80,2.5,24479.00,144.79,29.13,62,43.55
40,0.4,1.2,80,3.0,31783.61,217.84,29.13,67,46.27
40,0.4,1.2,80,3.5,30830.66,208.31,31.50,75,45.33
40,0.4,1.2,100,2.5,24967.32,149.67,29.13,62,43.55
40,0.4,1.2,100,3.0,32417.64,224.18,29.13,67,46.27
40,0.4,1.2,100,3.5,32554.17,225.54,31.50,74,45.95
40,0.4,1.5,60,2.5,24681.88,146.82,33.19,58,39.66
40,0.4,1.5,60,3.0,33665.17,236.65,33.19,62,41.94
40,0.4,1.5,60,3.5,31369.21,213.69,35.42,70,41.43
40,0.4,1.5,80,2.5,25351.61,153.52,32.96,58,39.66
40,0.4,1.5,80,3.0,34578.67,245.79,32.96,62,41.94
40,0.4,1.5,80,3.5,32220.41,222.20,35.20,70,41.43
40,0.4,1.5,100,2.5,25857.34,158.57,32.96,58,39.66
40,0.4,1.5,100,3.0,35268.45,252.68,32.96,62,41.94
40,0.4,1.5,100,3.5,34021.60,240.22,35.20,69,42.03
40,0.5,1.0,60,2.5,29925.76,199.26,12.12,56,53.57
40,0.5,1.0,60,3.0,43787.91,337.88,12.12,59,57.63
40,0.5,1.0,60,3.5,41565.41,315.65,16.12,66,54.55
40,0.5,1.0,80,2.5,29925.76,199.26,12.12,56,53.57
40,0.5,1.0,80,3.0,43787.91,337.88,12.12,59,57.63
40,0.5,1.0,80,3.5,41565.41,315.65,16.12,66,54.55
40,0.5,1.0,100,2.5,30522.74,205.23,12.12,56,53.57
40,0.5,1.0,100,3.0,44661.41,346.61,12.12,59,57.63
40,0.5,1.0,100,3.5,42394.57,323.95,16.12,66,54.55
40,0.5,1.2,60,2.5,24353.89,143.54,18.60,53,45.28
40,0.5,1.2,60,3.0,35128.14,251.28,18.60,56,50.00
40,0.5,1.2,60,3.5,34955.99,249.56,22.60,62,48.39
40,0.5,1.2,80,2.5,24930.58,149.31,18.60,53,45.28
40,0.5,1.2,80,3.0,35959.96,259.60,18.60,56,50.00
40,0.5,1.2,80,3.5,35783.73,257.84,22.60,62,48.39
40,0.5,1.2,100,2.5,25427.91,154.28,18.60,53,45.28
40,0.5,1.2,100,3.0,36677.30,266.77,18.60,56,50.00
40,0.5,1.2,100,3.5,36497.56,264.98,22.60,62,48.39
40,0.5,1.5,60,2.5,26071.42,160.71,20.05,50,40.00
40,0.5,1.5,60,3.0,37666.53,276.67,20.05,53,43.40
40,0.5,1.5,60,3.5,36005.19,260.05,23.98,59,42.37
40,0.5,1.5,80,2.5,26778.86,167.79,19.78,50,40.00
40,0.5,1.5,80,3.0,38688.60,286.89,19.78,53,43.40
40,0.5,1.5,80,3.5,36982.19,269.82,23.72,59,42.37
40,0.5,1.5,100,2.5,27313.06,173.13,19.78,50,40.00
40,0.5,1.5,100,3.0,39460.38,294.60,19.78,53,43.40
40,0.5,1.5,100,3.5,37719.92,277.20,23.72,59,42.37
40,0.6,1.0,60,2.5,30263.76,202.64,11.61,49,55.10
40,0.6,1.0,60,3.0,44282.48,342.82,11.61,52,59.62
40,0.6,1.0,60,3.5,40843.73,308.44,16.12,59,55.93
40,0.6,1.0,80,2.5,30263.76,202.64,11.61,49,55.10
40,0.6,1.0,80,3.0,44282.48,342.82,11.61,52,59.62
40,0.6,1.0,80,3.5,40843.73,308.44,16.12,59,55.93
40,0.6,1.0,100,2.5,30263.76,202.64,11.61,49,55.10
40,0.6,1.0,100,3.0,44282.48,342.82,11.61,52,59.62
40,0.6,1.0,100,3.5,40843.73,308.44,16.12,59,55.93
